date,actual_price,predicted_price,difference,error_percentage,bedrooms,propertyType
2007-08-03,383000.0,505108.8849995285,122108.88499952853,31.88221540457664,3,house
2007-08-03,520000.00000000006,502103.0934974551,-17896.906502544938,-3.4417127889509493,3,house
2007-08-07,385000.0,497626.61696597934,112626.61696597934,29.253666744410218,3,unit
2007-08-07,815000.0,493825.9885478765,-321174.0114521235,-39.40785416590472,5,house
2007-08-09,405000.0,493378.7966091186,88378.79660911858,21.821925088671254,3,unit
2007-08-10,545500.0,493168.8720714301,-52331.12792856991,-9.59324068351419,3,house
2007-08-10,760000.0,495619.5205897093,-264380.4794102907,-34.78690518556457,3,house
2007-08-11,636000.0,498726.27946175635,-137273.72053824365,-21.583918323623216,3,house
2007-08-11,520000.00000000006,499394.61124688387,-20605.38875311619,-3.9625747602146517,3,house
2007-08-14,625000.0,494985.189832747,-130014.81016725302,-20.802369626760484,4,house
2007-08-16,790000.0,496149.65846575797,-293850.34153424203,-37.19624576382811,4,house
2007-08-21,455000.0,498723.8529305905,43723.85293059051,9.60963800672319,4,house
2007-08-21,320000.0,501218.50452013314,181218.50452013314,56.6307826625416,3,house
2007-08-21,418000.0,504564.3950793892,86564.39507938921,20.7091854256912,5,house
2007-08-23,560000.0,507570.0682140887,-52429.93178591132,-9.362487818912737,4,house
2007-08-24,585000.0,503602.7489416301,-81397.25105836987,-13.914060009977755,4,house
2007-08-28,325000.0,501703.1301409006,176703.1301409006,54.37019388950788,2,house
2007-08-28,420000.0,499260.2050937712,79260.20509377122,18.87147740327886,4,house
2007-08-29,599000.0,498349.5457023382,-100650.45429766178,-16.803080851028678,3,house
2007-08-30,315000.0,496261.84114441276,181261.84114441276,57.543441633146905,2,house
2007-08-30,367000.0,497204.1342165321,130204.13421653211,35.477965726575505,3,house
2007-08-31,348000.0,499979.67158444226,151979.67158444226,43.67231942081674,3,house
2007-08-31,532500.0,501404.0749706328,-31095.92502936721,-5.839610334153466,4,house
2007-09-03,465000.0,499870.65523304045,34870.65523304045,7.4990656415140755,3,house
2007-09-04,820000.0,500203.82979884744,-319796.17020115256,-38.99953295136007,4,house
2007-09-05,529000.0,503774.97347071767,-25225.02652928233,-4.768436016877567,2,unit
2007-09-06,590000.0,506228.433214128,-83771.56678587198,-14.198570641673216,3,house
2007-09-07,400000.0,508964.1991443932,108964.1991443932,27.241049786098305,2,unit
2007-09-11,559000.0,509487.2053861618,-49512.794613838196,-8.857387229666939,4,house
2007-09-15,446000.0,503808.1163354218,57808.1163354218,12.961461061753768,4,house
2007-09-18,470000.0,498948.8693084568,28948.86930845678,6.159333895416336,3,house
2007-09-20,396500.0,499598.2327219099,103098.23272190988,26.00207634852708,4,house
2007-09-20,490000.0,500654.33602407575,10654.336024075747,2.1743542906277034,3,unit
2007-09-20,479000.0,505538.05550560355,26538.055505603552,5.540303863382787,3,house
2007-09-21,1460000.0,502224.59760680795,-957775.402393192,-65.60105495843781,5,house
2007-09-22,505999.99999999994,503627.4877227843,-2372.512277215661,-0.46887594411376704,4,house
2007-09-22,499999.99999999994,502835.6099911034,2835.609991103469,0.5671219982206938,4,house
2007-09-22,520000.00000000006,503371.04480713606,-16628.955192864,-3.1978759986276915,4,house
2007-09-24,220000.0,506276.99342928827,286276.99342928827,130.12590610422194,2,unit
2007-09-24,920000.0,506705.0690371543,-413294.9309628457,-44.92336206117888,4,house
2007-09-27,340000.0,504530.334867537,164530.33486753702,48.391274961040295,2,unit
2007-09-27,507000.00000000006,505941.4811078459,-1058.5188921541558,-0.20878084657872895,4,house
